date,temp,usage
2023-03-01,4.973958333333,22.721321836182
2023-03-02,4.423333333333,27.629462289681
2023-03-03,4.657916666667,26.385618476123
2023-03-04,4.766875,21.174921419327
2023-03-05,3.397916666667,26.822644680887
2023-03-06,4.53125,24.90645286
2023-03-07,2.015833333,25.0073050611
2023-03-08,0.486875,41.984092246147
2023-03-09,1.985833333,36.77339518935
2023-03-10,2.112708333,27.528610088582
2023-03-11,2.20625,31.394611130721
2023-03-12,9.47625,21.477478022625
2023-03-13,11.68583333,16.90551157279
2023-03-14,5.050833333,24.469426655237
2023-03-15,3.739583333,33.680594355639
2023-03-16,10.46416667,14.249736943842
2023-03-17,11.26333333,19.124259996974
2023-03-18,10.391875,13.879945539811
2023-03-19,7.652083333,16.972746373523
2023-03-20,10.15791667,16.737424570958
2023-03-21,11.16191489,13.779093338712
2023-03-22,11.35645833,20.166399408334
2023-03-23,9.74875,14.249736943842
2023-03-24,9.225,17.779563982317
2023-03-25,9.711875,14.115267342376
2023-03-26,6.819130435,19.662138402837
2023-03-27,5.6925,22.519617433984
2023-03-28,6.49,21.780034625922
2023-03-29,10.72541667,17.678711781218
2023-03-30,12.110625,14.249736943842
2023-03-31,10.53458333,16.670189770225
2023-04-01,8.25375,16.670189770225
2023-04-02,6.779375,22.351530432152
2023-04-03,5.143958333,25.881357470627
2023-04-04,5.898125,22.754939236549
2023-04-05,7.530208333,18.586381591112
2023-04-06,9.705208333,17.678711781218
2023-04-07,8.197083333,17.678711781218
2023-04-08,8.019583333,17.678711781218
2023-04-09,10.06395833,17.678711781218
2023-04-10,10.519375,11.190553510497
2023-04-11,8.042083333,18.048503185249
2023-04-12,6.618163265,14.922084951171
2023-04-13,8.283958333,12.736953927353
2023-04-14,6.687291667,19.090642596608
2023-04-15,8.989791667,14.854850150438
2023-04-16,10.13583333,12.434397324055
2023-04-17,11.39854167,11.224170910864
2023-04-18,9.488125,11.593962314894
2023-04-19,9.648958333,19.225112198074
2023-04-20,8.085,16.602954969492
2023-04-21,7.478333333,13.106745331384
2023-04-22,8.729,16.670189770225
2023-04-23,10.35458333,17.544242179752
2023-04-24,7.207083333,21.71279982519
2023-04-25,5.679791667,20.704277814197
2023-04-26,7.199591837,18.888938194409
2023-04-27,8.175416667,15.325493755568
2023-04-28,11.890625,17.611476980485
2023-04-29,11.71291667,9.240744289244
2023-04-30,12.03875,10.013944497672
2023-05-01,12.51708333,15.930606962164
2023-05-02,10.42041667,13.510154135781
2023-05-03,8.825625,12.165458121124
2023-05-04,11.96479167,13.476536735414
2023-05-05,13.89895833,11.829284117459
2023-05-06,12.35375,15.325493755568
2023-05-07,15.23583333,14.55229354714
2023-05-08,12.41770833,11.25778831123
2023-05-09,13.54645833,13.711858537979
2023-05-10,12.20020833,12.400779923689
2023-05-11,12.49854167,12.434397324055
2023-05-12,10.64333333,18.048503185249
2023-05-13,9.896458333,16.535720168759
2023-05-14,13.06166667,15.090171953003
2023-05-15,11.83666667,11.795666717093
2023-05-16,11.17020833,14.451441346041
2023-05-17,12.16666667,6.248795656632
2023-05-18,14.11770833,8.635631082648
2023-05-19,12.553125,9.812240095473
2023-05-20,12.390625,15.224641554469
2023-05-21,12.49770833,22.754939236549
2023-05-22,13.79354167,11.896518918192
2023-05-23,12.71854167,10.921614307566
2023-05-24,14.405,9.307979089977
2023-05-25,13.94833333,12.905040929185
2023-05-26,12.73291667,10.619057704268
2023-05-27,12.91520833,6.652204461029
2023-05-28,14.115625,3.996429832081
2023-05-29,11.40208333,3.895577630982
2023-05-30,11.258125,4.366221236112
2023-05-31,11.54645833,4.836864841242
2023-06-01,11.81666667,12.535249525154
2023-06-02,12.17645833,13.812710739079
2023-06-03,13.36808511,6.147943455533
2023-06-04,13.42145833,3.761108029516
2023-06-05,11.82,10.854379506833
2023-06-06,11.92354167,10.148414099138
2023-06-07,13.21458333,13.543771536147
2023-06-08,13.85020833,9.408831291076
2023-06-09,15.65958333,7.727961272755
2023-06-10,20.16666667,9.274361689611
