date,usage
2024-01-01,13.71428571
2024-01-02,11.69747899
2024-01-03,9.378151261
2024-01-04,15.79831933
2024-01-05,22.62184874
2024-01-06,23.12605042
2024-01-07,34.31932773
2024-01-08,31.12605042
2024-01-09,42.48739496
2024-01-10,34.99159664
2024-01-11,30.65546218
2024-01-12,19.73109244
2024-01-13,26.95798319
2024-01-14,30.21848739
2024-01-15,39.05882353
2024-01-16,36.84033613
2024-01-17,39.2605042
2024-01-18,41.51260504
2024-01-19,37.64705882
2024-01-20,25.54621849
2024-01-21,26.75630252
2024-01-22,21.27731092
2024-01-23,21.94957983
2024-01-24,17.98319328
2024-01-25,19.42857143
2024-01-26,17.54621849
2024-01-27,28.97478992
2024-01-28,24.97478992
2024-01-29,13.94957983
2024-01-30,19.83193277
2024-01-31,20.13445378
2024-02-01,20.41399001
2024-02-02,18.34403997
2024-02-03,10.8137045
2024-02-04,19.05781585
2024-02-05,21.09207709
2024-02-06,17.48750892
2024-02-07,20.52105639
2024-02-08,25.44610992
2024-02-09,14.31120628
2024-02-10,17.73733048
2024-02-11,22.7337616
2024-02-12,19.45039258
2024-02-13,23.98286938
2024-02-14,16.59528908
2024-02-15,17.45182013
2024-02-16,11.52748037
2024-02-17,14.27551749
2024-02-18,19.09350464
2024-02-19,13.56174161
2024-02-20,23.16202712
2024-02-21,14.31120628
2024-02-22,29.05067809
2024-02-23,28.83654532
2024-02-24,29.80014276
2024-02-25,32.694
2024-02-26,28.245
2024-02-27,29.611
2024-02-28,19.509
2024-02-29,20.293
2024-03-01,19.436
2024-03-02,28.711
2024-03-03,32.447
2024-03-04,22.988
2024-03-05,17.12
2024-03-06,23.439
2024-03-07,18.688
2024-03-08,18.869
2024-03-09,16.414
2024-03-10,20.616
2024-03-11,18.623
2024-03-12,19.826
2024-03-13,14.489
2024-03-14,12.27
2024-03-15,13.709
2024-03-16,17.524
2024-03-17,13.046
2024-03-18,19.686
2024-03-19,7.912
2024-03-20,15.295
2024-03-21,18.541
2024-03-22,14.063
2024-03-23,16.339
2024-03-24,24.209
2024-03-25,16.206
2024-03-26,13.992
2024-03-27,17.208
2024-03-28,15.971
2024-03-29,15.808
2024-03-30,14.476
2024-03-31,16.341
2024-04-01,9.224
2024-04-02,20.385
2024-04-03,7.042
2024-04-04,11.095
2024-04-05,9.535
2024-04-06,7.99
2024-04-07,9.079
2024-04-08,11.215
2024-04-09,13.652
2024-04-10,14.58
2024-04-11,13.489
2024-04-12,11.334
2024-04-13,11.367
2024-04-14,10.41
2024-04-15,18.921
2024-04-16,17.425
2024-04-17,10.304
2024-04-18,20.882
2024-04-19,10.747
2024-04-20,18.64
2024-04-21,16.233
2024-04-22,20.627
2024-04-23,14.407
2024-04-24,20.001
2024-04-25,16.962
2024-04-26,16.879
2024-04-27,21.979
2024-04-28,16.376
2024-04-29,16.209
2024-04-30,8.862
2024-05-01,12.435
2024-05-02,10.143
2024-05-03,18.069
2024-05-04,12.986
2024-05-05,12.128
2024-05-06,10.052
2024-05-07,15.478
2024-05-08,9.238
2024-05-09,7.958
2024-05-10,10.053
2024-05-11,8.587
2024-05-12,8.484
2024-05-13,10.739
2024-05-14,9.641
2024-05-15,9.731
2024-05-16,11.064
2024-05-17,8.427
2024-05-18,13.255
2024-05-19,14.574
2024-05-20,10.544
2024-05-21,11.328
2024-05-22,15.935
2024-05-23,12.857
2024-05-24,9.025
2024-05-25,10.317
2024-05-26,6.265
2024-05-27,5.258
2024-05-28,4.26
2024-05-29,5.005
2024-05-30,4.266
2024-05-31,9.046
2024-06-01,19.405
2024-06-02,9.778
2024-06-03,9.759
2024-06-04,10.655
2024-06-05,11.809
2024-06-06,10.701
2024-06-07,8.501
2024-06-08,9.158
2024-06-09,15.524
2024-06-10,11.269
2024-06-11,11.937
2024-06-12,13.801
2024-06-13,11.404
2024-06-14,7.984
2024-06-15,13.026
2024-06-16,8.594
2024-06-17,10.13
2024-06-18,10.123
2024-06-19,8.967
2024-06-20,9.278
2024-06-21,6.711
2024-06-22,8.414
2024-06-23,11.401
2024-06-24,10.107
2024-06-25,9.636
2024-06-26,8.062
2024-06-27,6.756
2024-06-28,8.099
2024-06-29,11.377
2024-06-30,14.342
2024-07-01,9.763
2024-07-02,11.167
2024-07-03,9.688
